platform,thread_count,measured_sample_count,serial_total_ms_median,serial_total_ms_coefficient_of_variation,parallel_total_ms_median,parallel_total_ms_coefficient_of_variation,symbolic_total_ms_median,symbolic_total_ms_coefficient_of_variation,numeric_total_ms_median,numeric_total_ms_coefficient_of_variation,symbolic_pattern_ms_median,symbolic_pattern_ms_coefficient_of_variation,symbolic_scatter_ms_median,symbolic_scatter_ms_coefficient_of_variation,symbolic_residual_ms_median,symbolic_residual_ms_coefficient_of_variation,numeric_reset_ms_median,numeric_reset_ms_coefficient_of_variation,numeric_kernel_ms_median,numeric_kernel_ms_coefficient_of_variation,numeric_residual_ms_median,numeric_residual_ms_coefficient_of_variation,fixed_residual_ms_median,fixed_residual_ms_coefficient_of_variation,official_total_speedup,candidate_p1_to_p_total_speedup,official_serial_symbolic_ms_median,official_serial_numeric_ms_median,official_symbolic_phase_speedup,official_numeric_phase_speedup,symbolic_total_ms_p1_to_p_speedup,numeric_total_ms_p1_to_p_speedup,symbolic_pattern_ms_p1_to_p_speedup,symbolic_scatter_ms_p1_to_p_speedup,symbolic_residual_ms_p1_to_p_speedup,numeric_reset_ms_p1_to_p_speedup,numeric_kernel_ms_p1_to_p_speedup,numeric_residual_ms_p1_to_p_speedup,fixed_residual_fraction_of_parallel_total_median,fixed_residual_fraction_of_parallel_total_coefficient_of_variation,symbolic_residual_fraction_of_symbolic_total_median,symbolic_residual_fraction_of_symbolic_total_coefficient_of_variation,numeric_residual_fraction_of_numeric_total_median,numeric_residual_fraction_of_numeric_total_coefficient_of_variation
linux,6,7,3621.2604079999996,0.015246624309848463,1746.56259,0.009523635647894425,1488.503081,0.007288081863292523,259.438627,0.022953790245093766,505.414121,0.0067458468659009055,388.125285,0.01713700540195471,594.6654000000001,0.004371395930315066,5.977766,0.014378318213485,98.99262,0.026818731592412652,154.738925,0.024235228131667307,748.448666,0.007602155354680831,2.081045871364965,2.352077305171182,3488.228064,147.101985,2.343446989479224,0.5670010927092981,2.376459739420586,2.1996824166048334,3.505403801331463,3.0367768696131194,0.9871722400529774,1.010162994001438,4.117599786731576,1.0149509439851676,0.428367106745034,0.0025214359483689353,0.3993793694624627,0.004281772359152883,0.5958369534877638,0.007377774123118811
windows,6,7,3075.6327,0.012192804779578414,1701.6513,0.0356735725509913,1352.356,0.03203080640264304,346.4071,0.06712575404173118,451.0417,0.03530273498163686,238.8018,0.04496806721044837,663.2778999999999,0.02886675952536006,1.7561,0.042158305787694444,108.9238,0.08099046408364728,235.7397,0.07483322976531818,896.778,0.03614687356237732,1.8038074545589924,2.243728018777995,2982.6783,84.7985,2.205542253666934,0.24479434745996834,2.32923830707299,1.9405858020808464,3.4202680151303086,4.1011985671799795,0.9540622414827934,0.9994875007118046,3.9907026747138827,1.0002252484413956,0.5299506157687556,0.015720195946921076,0.4916820319976476,0.011519697112079893,0.680529229702279,0.024727788867429767
linux,7,7,3639.833156,0.011264649471705468,1700.911213,0.011729387533950579,1449.422011,0.010616133374873347,251.938,0.030935752583031734,485.073712,0.010093311683130048,368.845263,0.01819760263369469,595.5030360000001,0.009438808792389243,6.038808,0.021140936756439462,90.605396,0.0395811936953984,155.628599,0.026858011747638966,750.4198150000001,0.011553958317255935,2.1368998212371713,2.4152055666411787,3488.228064,147.101985,2.406633842681446,0.5838816891457422,2.440536722330761,2.2651707404202623,3.652394547820806,3.1955131493718003,0.9857836812103169,0.9999519772776349,4.498760658802264,1.009148826174295,0.4407977637556533,0.003350650073351684,0.41030431063993933,0.004456811612794733,0.6156369168528606,0.0056385266089878025
windows,7,7,3082.6267000000003,0.012445956556317361,1641.8112,0.03933787245001112,1302.7244,0.03862721870854236,348.2035,0.044329463699003466,424.4613,0.015382395038510454,212.9958,0.07385811563750384,665.6850000000001,0.04487756683347383,1.7675,0.02325128103833721,103.6806,0.09204583808732111,235.6782,0.028885526465550787,900.9174,0.040280624272820746,1.8695519314279254,2.325506550326858,2982.6783,84.7985,2.289569689490732,0.24353144066616217,2.417978353671736,1.9305742188117005,3.63445030206523,4.598088788605222,0.9506123767247271,0.9930410183875531,4.192515282511868,1.0004862562595949,0.5487338617253921,0.0072543739544451554,0.5109944973779565,0.008193309242041067,0.6857890000586364,0.02347228621727211
linux,8,7,3619.70595,0.012290072746752858,1674.24709,0.013494833457090122,1419.683465,0.014214413761255455,247.261791,0.01471074204546029,471.133663,0.011237893144190138,361.209787,0.03308991397676377,591.833837,0.011004876001704116,6.004734,0.010455660886959086,83.844192,0.026868088285411214,156.70403699999997,0.01265745153997965,749.248077,0.010233400305339025,2.1709321692773558,2.4536702225953992,3488.228064,147.101985,2.457046341664619,0.5949240455028493,2.4916593953568373,2.3080095945758154,3.7604627309341723,3.2630618837578726,0.9918952555597119,1.0056262275731114,4.861541166739372,1.0022231782069537,0.4502561046169298,0.008365149156060896,0.41724213865361215,0.008625576062132795,0.6348404177289996,0.008125035862821752
windows,8,7,3081.0533,0.033333054111195276,1606.4061000000002,0.03393072108016223,1272.3449,0.035312996119858595,334.7795,0.04290435538652991,412.1692,0.011342295789241945,196.0665,0.10250951878019883,664.4122,0.03374700853832371,1.801,0.035720575604246844,94.0716,0.09032729735402,238.26069999999999,0.051418105037731976,901.1026,0.03557830726077201,1.91075675073694,2.3767605837652135,2982.6783,84.7985,2.3442372425904328,0.25329657281882556,2.47571189227072,2.0079864507832768,3.7428403189757997,4.99510931240166,0.9524334441781773,0.9745696835091616,4.620762270440813,0.9896420181758891,0.5614951951185213,0.006598402364639246,0.5223260897996028,0.008647065772217669,0.7132247025395346,0.030017088089803825
linux,9,7,3641.1987480000003,0.010625988750778515,1657.346434,0.014819801598242668,1409.014287,0.01260902551547471,249.578344,0.02967617493404046,458.195229,0.01815663728138274,361.118756,0.015941683649073415,593.204976,0.009180148951411575,5.960323,0.012196601647178881,86.928619,0.05973386350722251,155.790117,0.01893673046971841,747.420603,0.010332273149755657,2.193070074207551,2.478691325919853,3488.228064,147.101985,2.4756513089920147,0.5894020396256817,2.5105264557193236,2.286586956438817,3.8666499973529844,3.2638844380600376,0.9896025804746451,1.0131192554497466,4.689042523498504,1.008102574311566,0.4491834596121621,0.005604530238901655,0.42029742657229896,0.005154226804378691,0.6241826157313354,0.01830374435060968
windows,9,7,3073.0953,0.01199003948920424,1554.2624,0.014121098840561603,1226.8148,0.014044781625054095,334.8545,0.03266024537160539,387.9848,0.011962174158404204,177.5715,0.013112531400048453,661.203,0.0184979499259611,1.7971,0.02513919449027024,89.6877,0.08777434822194286,243.29709999999997,0.025087429517897223,903.991,0.0106383680849403,1.974860422538691,2.4564981434280337,2982.6783,84.7985,2.4312376244564375,0.2532398399902047,2.5675916201858664,2.007536706241069,3.9761441685344376,5.515376059784369,0.9570561537077116,0.9766846586166603,4.84662333854029,0.9691558181334676,0.5778354285727528,0.0061621175528526065,0.538155117545437,0.006446371046616476,0.7265755723754646,0.02356215388882823
linux,10,7,3630.751807,0.010468210871615181,1621.259027,0.010833504913488926,1370.57071,0.011515229669188392,248.35772,0.012269052751757966,432.341124,0.01270548518216045,351.410344,0.018950947173465033,594.092751,0.010147051324103712,6.00761,0.004380707858437552,87.602423,0.021480659568960888,155.653948,0.010799258343022578,748.4859490000001,0.008446794971884655,2.2418853535857597,2.5338642139137955,3488.228064,147.101985,2.545091645800602,0.5922988220378251,2.5809450166930827,2.2978250323766862,4.097876613282803,3.3540557588139746,0.9881237803556366,1.005144808001851,4.652976219618948,1.008984481395872,0.46176478101487217,0.006300684535017167,0.4317680324431535,0.006704846077382199,0.625906837640533,0.006732285490059149
windows,10,7,3073.978,0.017700309107802792,1561.5265,0.03339208586087216,1214.251,0.03363196212509215,328.451,0.06635110523708636,364.6079,0.05248405466493233,168.8405,0.035262384140404876,673.7052,0.03173220323714261,1.7961,0.03435828329069843,87.5258,0.07914182516084864,238.4722,0.0826522111581762,932.6707000000001,0.03269789996433702,1.9656735252331614,2.445070704851951,2982.6783,84.7985,2.456393529838559,0.2581770187942798,2.594158374174697,2.04667575985459,4.231075355196638,5.800584575383276,0.9392957038182279,0.9772284393964702,4.966335640462583,0.9887643087957425,0.5918988369505058,0.010619994533016399,0.5565618013848682,0.007228621758033231,0.7247723900738848,0.026791147100345504
linux,11,7,3617.637265,0.011314088049611756,1582.6895140000001,0.009950522312690545,1338.755032,0.009443471557916496,249.706653,0.018257863848767243,405.312531,0.018006767839532173,345.104796,0.008761389512375078,592.622466,0.008451645296975886,5.982891,0.01720005122884783,87.524924,0.023318087239410527,155.949301,0.02035488580548198,746.5072859999999,0.010186819910338495,2.2965192066092124,2.5956134754551736,3488.228064,147.101985,2.6055760618048605,0.5890991819108641,2.6422814924665023,2.2854120190381955,4.371146820032564,3.4153390554444796,0.9905752965497597,1.0092976789983303,4.657096200392016,1.0070735616827167,0.46936627880692894,0.006798866161081043,0.44125387903499735,0.006685100474852503,0.6294352675777642,0.008236498091208926
windows,11,7,3065.4938,0.01146219930585717,1481.287,0.02112402008234488,1155.0172,0.007493316203859095,324.5437,0.09674254358221668,337.9879,0.01129455477768364,157.0431,0.02972061529690627,657.7983999999999,0.00676843281953706,1.7868,0.03155174737495027,83.462,0.07206899042847337,239.29489999999998,0.10721609823498694,896.9876999999999,0.02758123034844107,2.0721516492077496,2.5775171860686013,2982.6783,84.7985,2.5823669985174247,0.2612853061082375,2.7271969629543182,2.0713164359684075,4.5643157639666985,6.236336394276475,0.9620096369951646,0.9823147526304008,5.208148618532985,0.9853649200212795,0.6064638385404043,0.0083277313954345,0.5696770819069183,0.0047795253405694335,0.7410500147011849,0.011918074826196024
linux,12,7,3651.025718,0.01243376996013323,1569.907992,0.011217479894133506,1319.713595,0.009146186373536976,256.614545,0.030581187526717273,390.560659,0.010864335271726611,335.70049,0.013788623352782324,593.452446,0.007324791390872105,6.030542,0.019573860857629244,85.592504,0.06223048318952644,158.04987300000002,0.026549191123523053,749.847718,0.01047632955874109,2.315216487540501,2.6167458544920894,3488.228064,147.101985,2.643170516099745,0.5732410257571331,2.6804055496601897,2.2238902553243816,4.5362494664369155,3.5110162871671706,0.9891899156482707,1.001322600854119,4.762239354511698,0.9936889857545158,0.478366863840331,0.006518001681857858,0.4511320476645813,0.0038987615116871373,0.6344377592145944,0.021181516983698898
windows,12,7,3060.6549,0.013310304996963201,1450.0513,0.01538438205610667,1130.2056,0.016756837862240182,320.2413,0.014632290006815405,316.8226,0.02419400928267141,151.6646,0.02954131409059117,665.1917000000001,0.012824493726764963,1.7904,0.02529552712713116,81.8915,0.03419347930201881,237.3125,0.025096392214396933,909.8875,0.01359777912644533,2.116788075015001,2.633039741421562,2982.6783,84.7985,2.639058150127729,0.2647956400376841,2.7870675919496417,2.09914430150015,4.869234391738468,6.457496343906224,0.951317342053426,0.9803395889186775,5.308029526873974,0.9935962075322625,0.6198327402753419,0.007720497901333741,0.586990831871879,0.006849247995697796,0.7392797619974767,0.013571969966397384
linux,13,7,3634.922743,0.00937814397595933,1540.0367919999999,0.011173704324576181,1296.666618,0.008859701810369141,247.137052,0.026133443132660642,378.362235,0.01264532348826086,325.232606,0.010533543002157489,591.650789,0.007458443955825594,5.983415,0.02890974499311657,85.006762,0.033482777990382136,155.88620799999998,0.02831054191132835,747.1570599999999,0.0116878434443652,2.3601233982726826,2.667501355383203,3488.228064,147.101985,2.6901502788591105,0.5952243251651315,2.728047128610509,2.3091745304139986,4.682498455481426,3.6240212889355874,0.9922021332756136,1.0092092893439615,4.795053727608164,1.007481162156437,0.48565760166948546,0.003492436473174196,0.4573854536840945,0.0036261362006233646,0.6363541113263177,0.010878562350662252
windows,13,7,3050.6255,0.015938646918956724,1450.6607,0.01800569371757532,1115.5195,0.02026647899519671,319.113,0.028580324019270544,309.7926,0.022513058427202356,144.0391,0.03971686798969734,666.7507,0.020564931393556737,1.7418,0.041873879631934965,78.3407,0.02232593916081326,239.5118,0.03506976752391531,913.3856000000001,0.016899865958491904,2.1158988452640926,2.631933642374127,2982.6783,84.7985,2.6738020267686937,0.26573188807726417,2.823760050810407,2.106566326034978,4.979729987094592,6.799359340623484,0.9490929668315308,1.007693190951889,5.54861649181077,0.9844725813091466,0.630438225028536,0.0029458747803175088,0.5974581579593656,0.007703800660514904,0.7505548191393018,0.008501144787135336
