env_group,schema_version,platform_id,run_profile,profile_note,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,7,physical_core_region,193.4727503,2.932103341,0.4188719059,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,8,physical_core_region,153.672764,3.691494074,0.4614367593,PASS,,,14,14,Apple M4 Max,,,,0.0,9.82286808e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,8,physical_core_region,127.3795693,4.453477906,0.5566847382,PASS,,,14,14,Apple M4 Max,,,,1760140800.0,7.391654287e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,8,physical_core_region,132.055903,4.295772357,0.5369715446,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,8,physical_core_region,182.6769033,3.105384903,0.3881731128,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,9,physical_core_region,136.109,4.167851484,0.4630946094,PASS,,,14,14,Apple M4 Max,,,,0.0,1.164534953e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,9,physical_core_region,128.1671387,4.4261119,0.4917902111,PASS,,,14,14,Apple M4 Max,,,,1980158400.0,8.849359086e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,9,physical_core_region,147.8025977,3.838106411,0.4264562679,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,9,physical_core_region,207.744514,2.730671856,0.303407984,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,10,physical_core_region,140.9474863,4.024776265,0.4024776265,PASS,,,14,14,Apple M4 Max,,,,0.0,1.282759203e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,10,physical_core_region,128.5947083,4.411395344,0.4411395344,PASS,,,14,14,Apple M4 Max,,,,2200176000.0,9.69392873e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,10,physical_core_region,130.4087917,4.350029553,0.4350029553,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,10,physical_core_region,209.6411107,2.705967813,0.2705967813,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,1,physical_core_region,775.7325417,0.7337102675,0.7337102675,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,1,physical_core_region,603.609778,0.9429319262,0.9429319262,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,220017600.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,1,physical_core_region,656.0054167,0.8676192547,0.8676192547,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,1,physical_core_region,938.724861,0.6063149644,0.6063149644,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,2,physical_core_region,408.3436667,1.393833129,0.6969165646,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,8.628496984e-18
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,2,physical_core_region,297.2538607,1.914736883,0.9573684416,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,440035200.0,8.298033569e-18
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,2,physical_core_region,336.3968473,1.691938956,0.845969478,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,2,physical_core_region,496.4568193,1.14645002,0.5732250102,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,3,physical_core_region,293.538986,1.938968784,0.6463229279,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.398966423e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,3,physical_core_region,231.804361,2.455359029,0.8184530096,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,660052800.0,1.296852184e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,3,physical_core_region,240.950139,2.362160624,0.7873868746,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,3,physical_core_region,364.0887917,1.563253096,0.5210843652,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,4,physical_core_region,242.7025003,2.345105345,0.5862763361,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.685026316e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,4,physical_core_region,182.6140693,3.116752903,0.7791882257,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,880070400.0,1.621461041e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,4,physical_core_region,202.0570837,2.816842252,0.7042105631,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,4,physical_core_region,281.1803613,2.024191618,0.5060479046,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,5,physical_core_region,194.416389,2.927546045,0.585509209,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.153065718e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,5,physical_core_region,168.6770283,3.374276487,0.6748552975,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1100088000.0,6.933680511e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,5,physical_core_region,184.2442777,3.08917562,0.617835124,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,5,physical_core_region,243.3591943,2.338777182,0.4677554363,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,6,physical_core_region,185.1423753,3.074190496,0.5123650827,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.429934424e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,6,physical_core_region,138.996278,4.094806989,0.6824678316,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1320105600.0,1.413851997e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,6,physical_core_region,147.943347,3.847168137,0.6411946895,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,6,physical_core_region,211.532,2.690670587,0.4484450979,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,7,physical_core_region,157.938972,3.603688966,0.5148127094,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.090519738e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,7,physical_core_region,134.4907367,4.231986119,0.6045694455,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1540123200.0,8.268687012e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,7,physical_core_region,156.9020277,3.62750526,0.5182150371,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,7,physical_core_region,194.1446663,2.931643405,0.4188062007,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,8,physical_core_region,149.940014,3.795937559,0.4744921948,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.823450204e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,8,physical_core_region,129.482458,4.395675982,0.5494594977,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1760140800.0,7.391654287e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,8,physical_core_region,133.9789723,4.248151189,0.5310188987,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,8,physical_core_region,181.2301667,3.140552929,0.3925691161,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,9,physical_core_region,137.305,4.14524548,0.4605828311,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.164896755e-16
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,9,physical_core_region,116.1500417,4.900238713,0.5444709681,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1980158400.0,8.849359086e-17
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,9,physical_core_region,139.7789163,4.071879691,0.4524310768,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,9,physical_core_region,208.292736,2.732514545,0.3036127272,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
