case_name,mesh,element_type,stiffness_model,kernel,algorithm,threads,status,skip_reason,repeat_count,rel_l2,max_abs,measurement_mode,symbolic_ms_mean,symbolic_ms_min,symbolic_ms_max,symbolic_ms_std,numeric_ms_mean,numeric_ms_min,numeric_ms_max,numeric_ms_std,symbolic_numeric_total_ms_mean,symbolic_numeric_total_ms_min,symbolic_numeric_total_ms_max,symbolic_numeric_total_ms_std,isolated_peak_rss_mb_mean,isolated_peak_rss_mb_min,isolated_peak_rss_mb_max,isolated_peak_rss_mb_std
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,8,PASS,,3,7.3880962975152929e-17,0.005859375,isolated,4088.290069,4074.86338,4103.147348,11.59110725,269.4486143,268.014802,271.10705,1.272357695,4357.738684,4345.97043,4372.371339,10.96678612,3724.144531,3724.128906,3724.167969,0.01687708321
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,9,PASS,,3,8.8514482161914481e-17,0.0078125,isolated,4166.887147,4159.233738,4172.216184,5.549054409,296.5300227,296.287508,296.85304,0.2377913935,4463.41717,4455.521246,4468.665704,5.683349915,3934.00651,3933.949219,3934.09375,0.06268960303
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,10,PASS,,3,9.6776629059682911e-17,0.005859375,isolated,4219.43441,4218.051319,4220.552192,1.038069712,312.257666,309.492144,315.447064,2.449492628,4531.692076,4527.543463,4535.999256,3.45388346,4143.834636,4143.824219,4143.839844,0.007365695637
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,11,PASS,,3,1.0380388329715151e-16,0.005859375,isolated,4281.131306,4277.853884,4286.688578,3.950632146,326.18928,324.864915,328.594022,1.703324318,4607.320586,4603.960359,4611.553493,3.160706543,4353.669271,4353.667969,4353.671875,0.001841306058
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,12,PASS,,3,1.9324441981839993e-17,0.005859375,isolated,4341.205589,4336.462994,4345.57691,3.729990986,342.6918217,341.16521,343.891561,1.136773676,4683.89741,4680.354555,4686.74212,2.654028659,4563.415365,4563.371094,4563.457031,0.0351319314
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,13,PASS,,3,1.1284682676156252e-16,0.0078125,isolated,4417.821691,4409.72174,4429.575068,8.506832378,356.6357363,353.636623,358.343806,2.127516277,4774.457428,4768.065546,4783.211691,6.405053341,4773.205729,4773.195312,4773.21875,0.00974407762
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,14,PASS,,3,1.1570885421843386e-16,0.005859375,isolated,4491.004801,4484.674142,4500.255275,6.687645983,366.060986,365.117786,367.179548,0.8507955138,4857.065787,4850.559766,4867.434823,7.410984954,4983.061198,4982.976562,4983.199219,0.09842613801
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,15,PASS,,3,1.1790496053095949e-16,0.005859375,isolated,4549.983285,4543.544862,4555.425029,4.90099444,382.3750937,377.855359,390.265189,5.598837286,4932.358379,4928.835324,4934.429762,2.50398986,5192.916666,5192.820312,5193.046875,0.09554156218
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,16,PASS,,3,1.1944961722038869e-16,0.005859375,isolated,4609.414465,4601.539654,4617.259059,6.417455788,395.9012783,394.57962,396.912736,0.977420383,5005.315743,4997.751133,5014.171795,6.765618999,5402.766927,5402.726562,5402.828125,0.04400205419
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,17,PASS,,3,1.2623160244493821e-16,0.005859375,isolated,4685.746618,4672.289548,4695.559938,9.843287116,410.3909327,409.364326,411.437332,0.8464168718,5096.137551,5082.660688,5104.924264,9.675220388,5612.621094,5612.574219,5612.714844,0.06629126074
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,18,PASS,,3,1.2406824107403416e-16,0.005859375,isolated,4780.611235,4765.683942,4805.325278,17.60102699,424.1328,419.814655,428.678634,3.622284053,5204.744035,5190.639141,5229.230389,17.38106496,5822.47526,5822.40625,5822.582031,0.07656858394
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,19,PASS,,3,1.2978713640836396e-16,0.005859375,isolated,4852.98043,4842.297427,4862.698232,8.356511308,436.1072717,433.111829,439.184294,2.479744506,5289.087702,5278.323119,5301.882526,9.724636186,6032.229167,6032.195312,6032.277344,0.03498729618
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_private_csr,20,PASS,,3,1.297996957225153e-16,0.005859375,isolated,4912.626757,4904.351286,4926.063944,9.586183051,450.3452267,448.445769,453.170688,2.037044752,5362.971984,5352.797055,5379.234632,11.61985689,6242.152344,6242.074219,6242.261719,0.0796721799
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,1,PASS,,3,0,0,isolated,4007.997696,4006.886323,4008.557432,0.7858665743,2424.817489,2419.786049,2433.230913,5.987177991,6432.815186,6426.672372,6441.788345,6.487490649,3094.598958,3094.574219,3094.621094,0.01922499617
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,2,PASS,,3,8.6843699768356239e-18,0.0048828125,isolated,4009.914016,3998.709053,4030.306141,14.44292124,1734.930917,1727.368069,1744.732325,7.263502714,5744.844933,5731.401411,5757.67421,10.7346158,3094.606771,3094.5625,3094.683594,0.05453233742
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,3,PASS,,3,1.3965464210738026e-17,0.005859375,isolated,3994.184296,3987.429108,4003.918269,7.05350871,1265.071178,1262.87428,1268.133327,2.232470596,5259.255474,5250.303388,5268.124197,7.275553609,3094.576823,3094.542969,3094.613281,0.02876374973
