env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
bound,cpu_atomic,5,physical_core_region,302.1525053,2.430954356,0.4861908712,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,0.0,9.155350514e-17
bound,cpu_private_csr,5,physical_core_region,291.6803757,2.51823232,0.5036464639,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1100088000.0,6.920675397e-17
bound,cpu_row_owner,5,physical_core_region,259.7435033,2.82786264,0.565572528,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,5,physical_core_region,365.7848397,2.008062854,0.4016125708,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,8909472.0,1.225939172e-16
bound,cpu_atomic,6,physical_core_region,257.8117267,2.849051742,0.474841957,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,0.0,1.526917114e-17
bound,cpu_private_csr,6,physical_core_region,278.593503,2.636525766,0.4394209611,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1320105600.0,1.405209813e-17
bound,cpu_row_owner,6,physical_core_region,219.8030173,3.341714586,0.5569524309,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,6,physical_core_region,308.7037703,2.379365008,0.3965608347,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,8909472.0,1.225939172e-16
bound,cpu_atomic,7,physical_core_region,227.5850153,3.227448643,0.4610640919,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,0.0,1.091559101e-16
bound,cpu_private_csr,7,physical_core_region,274.061079,2.680128648,0.3828755211,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1540123200.0,8.265713991e-17
bound,cpu_row_owner,7,physical_core_region,207.9927493,3.531464204,0.5044948863,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,7,physical_core_region,274.8415647,2.67251771,0.3817882443,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,8909472.0,1.225939172e-16
bound,cpu_atomic,8,physical_core_region,204.8001767,3.586515212,0.4483144015,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,0.0,9.835724905e-17
bound,cpu_private_csr,8,physical_core_region,277.084993,2.650879577,0.3313599471,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1760140800.0,7.388096298e-17
bound,cpu_row_owner,8,physical_core_region,189.6162737,3.873712603,0.4842140754,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,8,physical_core_region,249.501047,2.943951369,0.3679939212,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,8909472.0,1.225939172e-16
