env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_graph_coloring,10,physical_core_region,252.8623293,4.263108746,0.4263108746,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,11,physical_core_region,215.129935,5.010830351,0.4555300319,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.372697704e-16
default,cpu_private_csr,11,physical_core_region,406.5680863,2.651412258,0.241037478,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2420193600.0,1.038038833e-16
default,cpu_row_owner,11,physical_core_region,209.3225987,5.149848199,0.4681680181,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,11,physical_core_region,249.489607,4.320739532,0.3927945029,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,12,physical_core_region,204.1139987,5.281262504,0.4401052087,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,2.147377594e-17
default,cpu_private_csr,12,physical_core_region,437.5068037,2.463915072,0.205326256,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,2640211200.0,1.932444198e-17
default,cpu_row_owner,12,physical_core_region,187.4647397,5.750305949,0.4791921624,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,12,physical_core_region,236.2883007,4.562137036,0.3801780863,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
bound,cpu_atomic,1,physical_core_region,1708.619233,0.6181077336,0.6181077336,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,0.0,0.0
bound,cpu_private_csr,1,physical_core_region,1098.290073,0.9615954728,0.9615954728,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,FALSE,close,cores,220017600.0,0.0
